code,name,market,price,asai_score,recommendation,ret_1m,ret_3m,rsi,ma25_diff,pbr,per,div_yield,catalyst_days,mktcap
5334,日本特殊陶業,プライム,8489.0,51.8,決算カタリスト,0.158275345,0.24746372,60.00275044,0.067351215,2.25335281,15.66938492,0.024148899,1.0,1691410000000.0
6268,ナブテスコ,プライム,4985.0,51.3,決算カタリスト,0.259792772,0.256300403,65.05908888,0.112493284,2.14820193,36.05612714,0.016048144,1.0,588553000000.0
6817,スミダコーポレーション,プライム,1350.0,50.5,決算カタリスト,0.232876712,0.159793814,75.068024,0.115292822,0.719792899,10.76667945,0.039259259,1.0,44747932950.0
5333,NGK,プライム,4655.0,49.2,決算カタリスト,0.159691081,0.254991202,67.51182835,0.083304603,1.712015962,18.90400208,0.017185822,1.0,1360390000000.0
7177,ＧＭＯフィナンシャルホールデ,スタンダード,1042.0,47.7,決算カタリスト,0.172103487,0.203692943,67.97303725,0.091649853,2.326430438,11.73229405,0.05515355,1.0,127220000000.0
5659,日本精線,プライム,1462.0,44.3,決算カタリスト,0.178082192,0.261732998,53.89458149,0.054214293,1.068742357,19.27982038,0.02872777,1.0,45709707780.0
6770,アルプスアルパイン,プライム,2332.5,44.0,決算カタリスト,0.090717793,0.210328716,62.29698469,0.049493813,1.039502014,15.01899657,0.026580922,1.0,485402000000.0
6920,レーザーテック,プライム,44590.0,43.7,決算カタリスト,0.263172805,0.136919939,62.58150498,0.142671387,17.71847204,46.23100234,0.007759587,1.0,4204230000000.0
8002,丸紅,プライム,6070.0,43.2,決算カタリスト,0.053270866,0.210855831,59.57505616,0.036124317,2.408758089,22.5884738,0.017710049,2.0,10080800000000.0
8015,豊田通商,プライム,6407.0,42.7,決算カタリスト,0.072660305,0.15894201,57.31441981,0.029236948,2.246162529,18.03704807,0.018105197,1.0,6805320000000.0
6971,京セラ,プライム,2706.5,42.7,決算カタリスト,0.131243469,0.200782036,58.86546958,0.056301993,1.08900931,34.02952558,0.018474044,1.0,4088100000000.0
6724,セイコーエプソン,プライム,2105.5,42.4,決算カタリスト,0.090085426,0.106384718,57.00854669,0.030302756,0.788190246,14.32895958,0.035146046,2.0,786558000000.0
1939,四電工,プライム,2026.0,41.5,決算カタリスト,0.071390799,0.203139551,66.11378679,0.043015673,1.423111399,17.64943746,0.038005923,1.0,98800746660.0
