,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
121,1867 JT Equity,植木組,Construction & Engineering,スタンダード,2026/05/13,14:00,17891793384,11351.85185,2603,2586,0.006573859,2599,2606,2602.5,0.007354364,10800,2635,2567,-0.091131285,-0.069469129,0.078849368,0.435973812,1.220484087,1.1187053,2802.185185,26.2844973,0.038417211,6.642048322,0.556581779,-0.071082092,2026/04/28 6:57
122,186A JT Equity,アストロスケールホールディン,Aerospace & Defense,グロース,2026/06/12,,1.78241E+11,8205559.259,1312,1240,0.058064516,1312,1313,1312.5,0.058894716,5328400,1320,1220,0.437020811,0.302879841,0.64,0.686375321,-0.045818182,-0.045818182,1190.407407,53.47399531,,,17.08719701,0.102143679,2026/04/28 6:57
123,1870 JT Equity,矢作建設工業,Construction & Engineering,プライム,2026/05/12,13:00,97690330830,163359.2593,2190,2175,0.006896552,2178,2190,2184,0.003907148,185900,2198,2169,0.050863724,-0.034036311,-0.004518377,0.619916181,1.941181351,2.534296063,2110.925926,64.35094841,0.0456621,7.78550929,1.288774439,0.037459426,2026/04/28 6:57
124,1871 JT Equity,ピーエス・コンストラクション,Construction & Engineering,プライム,2026/05/14,13:00,1.30777E+11,102362.963,2754,2644,0.041603631,2740,2760,2750,0.044237706,109300,2754,2637,0.003644315,-0.078873913,0.571091518,0.909373397,3.717472778,4.538392878,2762.148148,51.59111734,0.039578794,13.86115065,2.052386708,-0.002949932,2026/04/28 6:57
125,1873 JT Equity,日本ハウスホールディングス,Household Durables,プライム,2026/06/12,,12200000000,156011.1111,305,327,-0.067278287,305,309,307,-0.059724349,463200,315,305,-0.006389776,-0.028125,0.040307166,-0.061562675,-0.136137972,0.157016429,321.8518519,24.85196821,0.036065574,31.70612312,0.561307074,-0.052359033,2026/04/28 6:57
126,1878 JT Equity,大東建託,Real Estate Management & Development,プライム,2026/04/30,10:30,1.20884E+12,1572666.667,3508,3490,0.005157593,3502,3510,3506,0.004584527,1682300,3508,3481,-0.042053523,0.18407635,0.167089275,0.168188941,0.532366887,0.817731031,3606.62963,37.33837248,0.040763968,12.48912672,2.375157097,-0.027346759,2026/04/28 6:57
127,1879 JT Equity,新日本建設,Construction & Engineering,プライム,2026/05/12,13:00,1.21126E+11,145292.5926,1974,1923,0.026521061,1963,1975,1969,0.023920957,84700,1974,1923,0.020155039,0.006819679,0.115013553,0.234810859,1.070793705,1.732705414,1963.666667,54.52117209,0.029381966,8.320477479,0.909708937,0.005262264,2026/04/28 6:57
128,1882 JT Equity,東亜道路工業,Construction & Engineering,プライム,2026/05/11,14:00,81236304760,250818.5185,1612,1571,0.026098027,1606,1614,1610,0.024824952,255100,1612,1573,-0.06333527,-0.059607781,0.061032657,0.116589866,1.155250939,3.422275672,1693.962963,37.51684833,0.055831266,22.70102866,1.445559968,-0.048385334,2026/04/28 6:57
129,1885 JT Equity,東亜建設工業,Construction & Engineering,プライム,2026/05/13,12:00,2.61384E+11,538751.8519,2971,2794,0.063350036,2962,2972,2967,0.06420373,705200,2971,2828,-0.06572327,-0.046860901,0.30629094,1.237124963,3.56181874,4.869409808,3058.037037,49.54808912,0.031302592,13.57503878,2.102974964,-0.028461734,2026/04/28 6:57
130,1887 JT Equity,日本国土開発,Construction & Engineering,プライム,2026/07/15,,52660450000,417407.4074,590,579,0.018998273,588,591,589.5,0.019896194,289900,590,577,0.015490534,-0.046849758,0.098438004,0.278394869,0.095277379,0.243262833,595.2222222,45.88604713,0.037288136,11.28480746,0.680094387,-0.008773567,2026/04/28 6:57
131,1888 JT Equity,若築建設,Construction & Engineering,プライム,2026/05/14,15:00,49072498505,18992.59259,3785,3585,0.055788006,3725,3790,3757.5,0.049581006,31000,3785,3625,-0.079075426,-0.157160293,-0.21397142,-0.036606154,-0.029170482,2.495279961,4013.518519,41.34505246,0.034874505,11.66700853,0.96418209,-0.056937203,2026/04/28 6:57
